id,name,route_code,route_name,lat,long
3728703,پايانه مرزي دوغارون - تايباد,313651,پايانه مرزي دوغارون - تايباد,34.716779,60.973277
3728704,تايباد - تربت‌حيدريه (تايباد),313652,تايباد - تربت‌حيدريه (تايباد),34.777849,60.765678
3728705,تربت‌جام - تايباد (تربت‌جام),313701,تربت‌جام - تايباد (تربت‌جام),35.175492,60.661735
3728706,تربت‌جام - باخرز (تربت‌جام),313702,تربت‌جام - باخرز (تربت‌جام),35.208713,60.588821
3728707,تربت‌جام - صالح‌آباد (تربت‌جام),313703,تربت‌جام - صالح‌آباد (تربت‌جام),35.261,60.644
3728708,تايباد - تربت‌جام (تربت‌جام),313751,تايباد - تربت‌جام (تربت‌جام),35.175492,60.661735
3728709,باخرز - تربت‌جام (تربت‌جام),313752,باخرز - تربت‌جام (تربت‌جام),35.208713,60.588821
3728710,صالح‌آباد - تربت‌جام (تربت‌جام),313753,صالح‌آباد - تربت‌جام (تربت‌جام),35.261,60.644
3728711,تربت‌حيدريه - سه‌راه شادمهر,313801,تربت‌حيدريه - سه‌راه شادمهر,35.22614,59.201711
3728712,مشهد - تربت حیدریه (باغچه - رباط سنگ),313802,مشهد - تربت حیدریه (باغچه - رباط سنگ),35.580102,59.214498
3728713,تربت حيدريه - رشتخوار,313803,تربت حيدريه - رشتخوار,35.219984,59.257061
3728714,تربت‌حيدريه - تايباد (تربت‌حيدريه),313804,تربت‌حيدريه - تايباد (تربت‌حيدريه),35.295256,59.278954
3728715,فيض‌آباد - مهنه,313805,فيض‌آباد - مهنه,35.0013,58.82793
3728716,فيض‌آباد - بجستان (فيض‌آباد),313806,فيض‌آباد - بجستان (فيض‌آباد),34.99826,58.76787
3728724,شادمهر - مهنه,313820,شادمهر - مهنه,35.156342,59.026013
3728717,مهنه - شادمهر (متناظر توزين),313822,مهنه - شادمهر (متناظر توزين),35.156342,59.026013
3728718,سه‌راهي شادمهر - تربت‌حيدريه,313851,سه‌راهي شادمهر - تربت‌حيدريه,35.22614,59.201711
3728719,تریت حیدریه - مشهد (رباط سنگ - باغچه),313852,تریت حیدریه - مشهد (رباط سنگ - باغچه),35.577658,59.213908
3728720,رشتخوار - تربت حيدريه,313853,رشتخوار - تربت حيدريه,35.219984,59.257061
3728721,تايباد - تربت‌حيدريه (تربت‌حيدريه),313854,تايباد - تربت‌حيدريه (تربت‌حيدريه),35.295256,59.278954
3728722,مهنه - فيض‌آباد,313855,مهنه - فيض‌آباد,35.0013,58.82793
3728723,بجستان - فيض‌آباد (فيض‌آباد),313856,بجستان - فيض‌آباد (فيض‌آباد),34.99826,58.76787
9000205,,313870,مهنه - شادمهر,35.156342,59.026013
3728724,شادمهر - مهنه,313872,شادمهر - مهنه,35.156342,59.026013
3728725,چناران - قوچان (چناران - سه‌راه چکنه),313901,چناران - قوچان (چناران - سه‌راه چکنه),36.8865,58.7354
3728726,مشهد - چناران (گلبهار - چناران),313902,مشهد - چناران (گلبهار - چناران),36.595139,59.199275
9000206,,313903,چناران - قوچان (پردازش دوربين نظارتي),36.967877,58.640457
3728727,قوچان - چناران (متناظر توزين),313904,قوچان - چناران (متناظر توزين),36.967877,58.640457
3728733,چناران - قوچان,313905,چناران - قوچان,36.967877,58.640457
3728728,قوچان - فاروج (قوچان),313909,قوچان - فاروج,37.172754,58.309561
3728729,قوچان - درگز (قوچان - امام قلي),313910,قوچان - درگز (قوچان - امام قلي),37.38565,58.52816
3728730,قوچان - باجگيران (امام قلي - باجگيران),313911,قوچان - باجگيران (امام قلي - باجگيران),37.53191,58.4219
3728731,قوچان - چناران (سه‌راه چکنه - چناران),313951,قوچان - چناران (سه‌راه چکنه - چناران),36.8865,58.7354
